name,sex,number
Giuseppe,M,1035
Maria,F,962
Andrea,M,848
Marco,M,762
Francesco,M,690
Alessandro,M,665
Giovanni,M,599
Roberto,M,551
Luca,M,535
Antonio,M,514
Paolo,M,507
Anna,F,505
Francesca,F,498
Davide,M,471
Matteo,M,463
Mario,M,460
Giulia,F,431
Luigi,M,429
Fabio,M,419
Paola,F,414
Salvatore,M,412
Stefano,M,403
Daniela,F,393
Elena,F,387
Lorenzo,M,380
Giuseppina,F,372
Massimo,M,372
Laura,F,358
Sara,F,357
Giorgio,M,356
Chiara,F,351
Anna Maria,F,349
Angela,F,349
Rosa,F,345
Riccardo,M,340
Silvia,F,331
Simone,M,324
Franco,M,318
Alberto,M,316
Valentina,F,315
Vincenzo,M,314
Claudio,M,306
Carlo,M,289
Maurizio,M,282
Carla,F,279
Angelo,M,278
Martina,F,276
Giovanna,F,275
Patrizia,F,273
Mauro,M,273
Elisa,F,273
Federico,M,272
Pietro,M,271
Cristina,F,271
Simona,F,271
Lucia,F,265
Alessia,F,262
Gabriele,M,261
Rita,F,247
Domenico,M,247
Michele,M,244
Monica,F,244
Silvana,F,243
Daniele,M,242
Bruno,M,238
Sergio,M,237
Barbara,F,236
Mattia,M,233
Stefania,F,232
Carmela,F,225
Giorgia,F,223
Teresa,F,221
Federica,F,221
Franca,F,211
Roberta,F,211
Antonella,F,210
Enrico,M,204
Claudia,F,203
Gianluca,M,202
Alessandra,F,201
Luciano,M,198
Marisa,F,180
Alice,F,177
Fabrizio,M,175
Edoardo,M,171
Alessio,M,171
Margherita,F,170
Caterina,F,170
Leonardo,M,169
Sofia,F,169
Rosanna,F,168
Aurora,F,162
Tommaso,M,162
Piero,M,161
Ilaria,F,161
Bruna,F,160
Manuela,F,157
Giuseppa,F,154
Filippo,M,153
Graziella,F,152
Maria Teresa,F,152
Tiziana,F,152
Renato,M,151
Christian,M,151
Giancarlo,M,151
Elisabetta,F,150
Beatrice,F,147
Diego,M,147
Nicolo',M,145
Luciana,F,145
Valeria,F,145
Giacomo,M,142
Antonietta,F,141
Irene,F,139
Sabrina,F,139
Cinzia,F,138
Marina,F,136
Gianfranco,M,135
Gabriella,F,134
Eleonora,F,131
Aldo,M,130
Concetta,F,130
Serena,F,130
Michela,F,129
Nicola,M,129
Nadia,F,129
Rebecca,F,129
Arianna,F,127
Marta,F,126
Emanuele,M,122
Emanuela,F,121
Pasquale,M,120
Vittoria,F,119
Massimiliano,M,117
Piera,F,113
Samuele,M,110
Adriana,F,110
Loredana,F,110
Antonino,M,110
Maria Luisa,F,110
Giuliana,F,109
Maria Grazia,F,107
Emma,F,101
Vittorio,M,100
Luigina,F,99
Guido,M,98
Veronica,F,96
Noemi,F,94
Gaia,F,92
Giada,F,91
