name,sex,number
Jessica,F,90
Vincenza,F,89
Mirko,M,89
Carmelo,M,88
Valter,M,88
Gianni,M,87
Flavio,M,87
Annamaria,F,86
Antonia,F,85
Liliana,F,84
Jacopo,M,84
Luisa,F,84
Giulio,M,83
Matilde,F,82
Renata,F,82
Raffaele,M,81
Sonia,F,81
Mohamed,M,81
Maria Rosa,F,80
Dario,M,80
Gaetano,M,80
Umberto,M,79
Calogero,M,79
Mirella,F,79
Isabella,F,78
Renzo,M,78
Annalisa,F,78
Raffaella,F,78
Greta,F,78
Adriano,M,77
Olga,F,76
Rocco,M,76
Enzo,M,76
Vito,M,75
Cristian,M,74
Luigia,F,72
Bianca,F,71
Grazia,F,71
Adele,F,70
Cecilia,F,70
Ezio,M,70
Danilo,M,69
Ivana,F,69
Lidia,F,68
Rosaria,F,68
Ivan,M,67
Erika,F,67
Clara,F,66
Ornella,F,66
Camilla,F,65
Donato,M,64
Rosario,M,64
Nicoletta,F,64
Emilia,F,64
Elio,M,63
Donatella,F,63
Rosalia,F,62
Silvio,M,62
Carlotta,F,62
Manuel,M,62
Daniel,M,61
Carmine,M,60
Marianna,F,60
Letizia,F,60
Denis,M,59
Maddalena,F,59
Elsa,F,58
Domenica,F,57
Marcello,M,57
Melissa,F,57
Alex,M,56
Assunta,F,56
Cesare,M,56
Enrica,F,56
Ginevra,F,55
Armando,M,55
Filomena,F,55
Valerio,M,55
Lina,F,55
Omar,M,54
Mara,F,54
Marinella,F,53
Maria Cristina,F,53
Fatima,F,52
Susanna,F,52
Carolina,F,52
Marilena,F,52
Virginia,F,52
Walter,M,51
Elda,F,51
Giuliano,M,50
Ludovica,F,50
Iolanda,F,49
Silvano,M,49
Sandro,M,49
Vera,F,48
Pierina,F,48
Alfredo,M,48
Sandra,F,48
Rossana,F,48
Thomas,M,48
Eugenio,M,47
Antonina,F,47
Maria Antonietta,F,47
Gino,M,47
Elvira,F,47
Denise,F,47
Carola,F,47
Maria Pia,F,47
Deborah,F,46
Ugo,M,46
Calogera,F,46
Marzia,F,46
Ida,F,45
Viviana,F,45
Ahmed,M,45
Gloria,F,45
Gabriel,M,45
Milena,F,45
Gerardo,M,45
Pasqualina,F,44
Gianpiero,M,44
Agnese,F,44
Gioele,M,43
Ettore,M,43
Nella,F,42
Mariangela,F,42
Felice,M,41
Debora,F,41
Nicole,F,41
Maria Angela,F,40
Rosina,F,40
Emilio,M,40
Rosella,F,40
Secondo,M,40
Kevin,M,40
Teresina,F,39
Rosalba,F,39
Michelina,F,39
Pierluigi,M,39
Vilma,F,39
Irma,F,38
Fulvio,M,38
Mariella,F,38
Flavia,F,38
Loris,M,38
Viola,F,38
Vanessa,F,38
Erik,M,38
Rosa Maria,F,38
Khadija,F,38
Sebastiano,M,38
Rossella,F,37
Asia,F,37
Angelina,F,36
Ines,F,36
Erica,F,36
Agostino,M,36
Salvatrice,F,36
Lucrezia,F,36
Natalia,F,36
Rina,F,36
Tatiana,F,36
Luisella,F,35
Gianpaolo,M,35
Marcella,F,35
Lorena,F,34
Amelia,F,34
Romina,F,34
Remo,M,34
Angelica,F,34
Michael,M,34
Maria Concetta,F,33
Natalina,F,33
David,M,33
Corrado,M,32
Nicolas,M,32
Rachele,F,32
Ferdinando,M,32
Livio,M,32
Maura,F,32
Guglielmo,M,32
Nunzio,M,32
Mariagrazia,F,32
Fabiana,F,32
Ana,F,32
Alfonso,M,31
Fiorella,F,31
Nicholas,M,31
Samuel,M,31
Marika,F,31
Pierpaolo,M,31
Ciro,M,31
Mohammed,M,31
Stella,F,31
Anita,F,31
Benedetta,F,30
Said,M,30
Gennaro,M,30
Eva,F,30
Gaetana,F,30
Enza,F,30
Cristiano,M,30
Gian Carlo,M,30
Maria Carmela,F,30
Morena,F,30
Fiorenzo,M,29
Ali,M,29
Cristiana,F,29
Ileana,F,29
Samantha,F,29
Raffaela,F,29
Youssef,M,29
Aicha,F,29
Ivano,M,29
Flora,F,28
Adelina,F,28
Onofrio,M,28
Gian Luca,M,28
Carmelina,F,28
Katia,F,28
Santina,F,28
Ion,M,28
Santa,F,27
Pier Luigi,M,27
Diana,F,27
Piergiorgio,M,27
Ester,F,27
Rosetta,F,27
Amedeo,M,27
Iris,F,27
Ada,F,27
Cosimo,M,27
Vasile,M,27
Miranda,F,27
Natale,M,26
Luana,F,26
Mirco,M,26
Maria Rosaria,F,26
Ferruccio,M,26
Eugenia,F,26
Santo,M,25
Amalia,F,25
Arben,M,25
Luigino,M,25
Gina,F,25
Maria Giovanna,F,25
Paolina,F,24
Niccolo',M,24
Constantin,M,24
Mihaela,F,24
Maria Vittoria,F,24
Damiano,M,24
Ambra,F,24
Rayan,M,23
Immacolata,F,23
Giampiero,M,23
Alda,F,23
Edmond,M,23
Maria Maddalena,F,23
Lorenza,F,23
Miriam,F,23
Maria Luigia,F,23
Valentino,M,23
Oriana,F,23
Lorella,F,23
Orazio,M,23
Sarah,F,23
Yasmine,F,22
Romano,M,22
Carmen,F,22
Victoria,F,22
Gioacchino,M,22
Loretta,F,22
Maria Gabriella,F,22
Ignazio,M,22
Lisa,F,22
Donata,F,22
Annunziata,F,21
Clelia,F,21
Rachid,M,21
Elia,M,21
Adam,M,21
Gianluigi,M,21
Fatiha,F,21
Italo,M,21
Pierino,M,21
Esmeralda,F,21
Livia,F,21
Alma,F,21
Fausto,M,21
Enea,M,20
Gregorio,M,20
Ilenia,F,20
Fernanda,F,20
Aya,F,20
Svetlana,F,20
Graziano,M,20
Romeo,M,20
Azzurra,F,20
Emily,F,20
Paolino,M,20
Fulvia,F,20
Secondina,F,20
Linda,F,20
Angela Maria,F,20
Rosangela,F,19
Osvaldo,M,19
Celestina,F,19
Pier Paolo,M,19
Gemma,F,19
Ernesto,M,19
Mariana,F,19
Marino,M,19
Delia,F,19
Maria Rita,F,19
Ivo,M,19
Mustapha,M,19
Irina,F,19
Nina,F,19
Igor,M,19
Dante,M,19
Yassine,M,19
Pier Giorgio,M,19
Maria Carla,F,18
Vittorina,F,18
Marialuisa,F,18
Eduard,M,18
Hamza,M,18
Micaela,F,18
Fatna,F,18
Agata,F,18
Angiolina,F,18
Pierangelo,M,18
Abderrahim,M,18
Isabel,F,18
Violeta,F,18
Gian Piero,M,18
Attilio,M,18
Eliana,F,18
Nunzia,F,18
Emanuel,M,18
Egle,F,18
Saverio,M,18
Anila,F,17
Mia,F,17
Romana,F,17
Palma,F,17
Regina,F,17
Mariuccia,F,17
Renza,F,17
Celeste,F,17
Gian Franco,M,17
Alexandru,M,17
Maria Paola,F,17
Fernando,M,17
Fabiola,F,17
Achille,M,17
Benedetto,M,17
Aurelia,F,17
Oreste,M,17
Ernestina,F,17
Vincenzina,F,17
Martino,M,17
Tamara,F,17
Alexandra,F,16
Michelino,M,16
Giovanna Maria,F,16
Maria Anna,F,16
Mariateresa,F,16
Kristian,M,16
Primo,M,16
Oscar,M,16
Antonello,M,16
Sophia,F,16
Maria Assunta,F,16
Dino,M,16
Esterina,F,16
Serafina,F,16
Zahra,F,16
Hassan,M,16
Simonetta,F,16
Vita,F,16
Michelangelo,M,16
Altin,M,16
Aurelio,M,16
Besnik,M,16
Jennifer,F,16
Rino,M,16
Fiorenza,F,16
Mariarosa,F,16
Amina,F,16
Valbona,F,15
Ayoub,M,15
Cosima,F,15
Ottavio,M,15
Samira,F,15
Concettina,F,15
Sabina,F,15
Augusto,M,15
Petrit,M,15
Martin,M,15
Chloe,F,15
Anna Rita,F,15
Albina,F,15
Mirela,F,15
Orietta,F,15
Tiziano,M,15
Zakaria,M,15
Giovanni Battista,M,15
Gheorghe,M,15
Hajar,F,15
Piercarlo,M,15
Elia,F,15
Sharon,F,15
Benito,M,15
Germana,F,15
Fatmir,M,15
Vanda,F,15
Gian Paolo,M,15
Gezim,M,15
Rodica,F,14
Gianna,F,14
Aurel,M,14
Onorina,F,14
Artan,M,14
Ombretta,F,14
Clarissa,F,14
Alfred,M,14
Emiliano,M,14
Nicolina,F,14
Artur,M,14
Giuseppe Antonio,M,14
Lara,F,14
Teresio,M,14
Mina,F,14
Samanta,F,14
Orlando,M,14
Gian Luigi,M,14
Victor,M,14
Pamela,F,14
Lucio,M,14
Rodolfo,M,14
Dina,F,14
Lindita,F,14
Hicham,M,14
Maria Caterina,F,14
Naima,F,14
Amanda,F,14
Ana Maria,F,14
Manuele,M,13
Leonard,M,13
Aida,F,13
Arturo,M,13
Felicia,F,13
Miriana,F,13
Francesco Antonio,M,13
Agron,M,13
Giampaolo,M,13
Nora,F,13
Gaspare,M,13
Lauretta,F,13
Alida,F,13
Maria Francesca,F,13
Evelina,F,13
Maria Stella,F,13
Giovanni Giuseppe,M,13
Michelle,F,13
Angioletta,F,13
William,M,13
Patrizio,M,13
Savino,M,13
Maria Lucia,F,13
Daria,F,13
Edda,F,13
Maria Antonia,F,13
Maurizia,F,13
Gabriela,F,12
Germano,M,12
Lino,M,12
Edi,F,12
Adolfo,M,12
Norma,F,12
Rinaldo,M,12
Rosemma,F,12
Gerarda,F,12
Manjola,F,12
Bryan,M,12
Giovannina,F,12
Albert,M,12
Demetrio,M,12
Sergiu,M,12
Giacinto,M,12
Amal,F,12
Biagio,M,12
Hanane,F,12
Mariano,M,12
Catterina,F,12
Stefan,M,12
Dorina,F,12
Alba,F,12
Klea,F,12
Maria Giuseppina,F,12
Mamadou,M,12
Giuseppe Giovanni,M,12
Amira,F,12
Devis,M,12
Viorica,F,12
Francesco Paolo,M,12
Anna Teresa,F,12
Gianmarco,M,12
Pranvera,F,11
Adil,M,11
Abdellah,M,11
Katiuscia,F,11
Anthony,M,11
Anastasia,F,11
Leandro,M,11
Ervis,M,11
Lilia,F,11
Samir,M,11
Aleksander,M,11
Matilda,F,11
Sonja,F,11
Florin,M,11
Anna Rosa,F,11
Laila,F,11
Ecaterina,F,11
Aziz,M,11
Nadejda,F,11
Ersilia,F,11
Andrei,M,11
Andrea,F,11
Bledar,M,11
Sebastian,M,11
Majlinda,F,11
Maristella,F,11
Fiorina,F,11
Nicoleta,F,11
Ermanno,M,11
Arjan,M,11
Selene,F,11
Klevis,M,11
Salah,M,11
Pia,F,11
Nicolae,M,11
Emiliana,F,11
Ibrahim,M,11
Blessing,F,11
Eduart,M,10
Marica,F,10
Magda,F,10
Maria Giuseppa,F,10
Naomi,F,10
Giannina,F,10
Maria Domenica,F,10
Grazia Maria,F,10
Gentian,M,10
Speranza,F,10
Floriana,F,10
Marjeta,F,10
Alfio,M,10
Antonetta,F,10
Diletta,F,10
Mimoza,F,10
Giancarla,F,10
Shpresa,F,10
Alina,F,10
Cloe,F,10
Moreno,M,10
Zoe,F,10
Amine,M,10
Ilir,M,10
Gioacchina,F,10
Klajdi,M,10
Carla Maria,F,10
Denisa,F,10
Franca Maria,F,10
Giuditta,F,10
Kristina,F,10
Aniello,M,10
Raimonda,F,10
Drita,F,10
Arnaldo,M,10
Endri,M,10
Mariacristina,F,10
Maria Chiara,F,10
Olivia,F,10
Ylenia,F,10
Rosita,F,10
Chanel,F,10
Gerardina,F,10
Palmina,F,10
Maria Elena,F,10
Santiago,M,10
Agim,M,10
Elida,F,10
Filippa,F,10
Moussa,M,10
Dashamir,M,9
Saimir,M,9
Malak,F,9
Costantino,M,9
Ilirjan,M,9
Iuliana,F,9
Luljeta,F,9
Luis,M,9
Marius,M,9
Vasilica,F,9
Bouchra,F,9
Anas,M,9
Adama,M,9
Danila,F,9
Mihail,M,9
Hamid,M,9
Younes,M,9
Pjeter,M,9
Maria Giulia,F,9
Delfina,F,9
Karim,M,9
Iole,F,9
Giovanni Carlo,M,9
Gjergj,M,9
Rossano,M,9
Giuseppe Mario,M,9
Mafalda,F,9
Sveva,F,9
Dennis,M,9
Jonida,F,9
Jurgen,M,9
Teodora,F,9
Marjan,M,9
Sokol,M,9
Andreea,F,9
Enkeleda,F,9
Faith,F,9
Olimpia,F,9
Mark,M,9
Girolamo,M,9
Giulietta,F,9
Secondino,M,9
Dumitru,M,9
Adelaide,F,9
Pasqualino,M,9
Sante,M,9
Christopher,M,9
Joy,F,9
Albana,F,9
Costanza,F,9
Lulzim,M,9
Mathias,M,9
Natalino,M,9
Marcela,F,9
Clementina,F,9
Blerim,M,9
Katja,F,9
Blerta,F,9
Sonila,F,9
Nada,F,9
Mariam,F,9
Ercole,M,9
Fortunato,M,9
Gisella,F,9
Brunella,F,9
Stiven,M,9
Paola Maria,F,9
Brahim,M,9
Gjon,M,9
Nour,F,9
Giliola,F,8
Gioia,F,8
Silvana Maria,F,8
Ludovico,M,8
Rosa Anna,F,8
Luna,F,8
Catia,F,8
Maricica,F,8
Amir,M,8
Gilberto,M,8
Lauro,M,8
Rajmonda,F,8
Petru,M,8
Nikolas,M,8
Albertina,F,8
Saida,F,8
Alfonsa,F,8
Albino,M,8
Marwa,F,8
Alketa,F,8
Dallandyshe,F,8
Stela,F,8
Adrian,M,8
Natascia,F,8
Graziella Maria,F,8
Mehmet,M,8
Gentjan,M,8
Mihai,M,8
Dora,F,8
Ioana,F,8
Marinela,F,8
Halima,F,8
Libera,F,8
Modou,M,8
Eufemia,F,8
Antony,M,8
Giosue',M,8
Jasmine,F,8
Doriana,F,8
Jonathan,M,8
Ioan,M,8
Gabriella Maria,F,8
Aferdita,F,8
Lahcen,M,8
Salma,F,8
Elvis,M,8
Nicol,F,8
Pietra,F,8
Lavinia,F,8
Imad,M,8
Ardian,M,8
Ghizlane,F,8
Franco Giuseppe,M,8
Robert,M,8
Bouchaib,M,8
Edlira,F,8
Elide,F,8
Iulia,F,8
Merita,F,8
Imran,M,8
Klaudio,M,8
Mikel,M,8
Brunilda,F,8
Asya,F,8
Saadia,F,8
Erminio,M,8
Piero Luigi,M,8
Suela,F,8
Gianfranca,F,8
Girolama,F,8
Galina,F,8
Eric,M,8
Giusy,F,8
Maria Bruna,F,8
Walid,M,8
Canio,M,7
Sindi,F,7
John,M,7
Domnica,F,7
Cono,M,7
Gualtiero,M,7
Arta,F,7
Maria Incoronata,F,7
Gian Marco,M,7
Georgeta,F,7
Patricia,F,7
Costantina,F,7
Sofia Maria,F,7
Tatjana,F,7
Ismail,M,7
Rita Maria,F,7
Abderrahmane,M,7
Marian,M,7
Patrick,M,7
Kujtim,M,7
Micol,F,7
Ionel,M,7
Zohra,F,7
Orsola,F,7
Valentin,M,7
Celestino,M,7
Bashkim,M,7
Sophie,F,7
Shkelqim,M,7
Donika,F,7
Valentyna,F,7
Rozeta,F,7
Maria Elisabetta,F,7
Irena,F,7
Iman,F,7
Fatos,M,7
Brigida,F,7
Giovanni Pietro,M,7
Zineb,F,7
Silvia Maria,F,7
Roberto Giuseppe,M,7
Vanna,F,7
Kawtar,F,7
Najat,F,7
Desiree,F,7
Nikola,M,7
Loreta,F,7
Tonin,M,7
Lenuta,F,7
Luan,M,7
Meri,F,7
Asja,F,7
Alessandrina,F,7
Nezha,F,7
Enrichetta,F,7
Roland,M,7
Andi,M,7
Nello,M,7
Hasna,F,7
Maria Graziella,F,7
Monia,F,7
Luigj,M,7
Edison,M,7
Shpetim,M,7
Soukaina,F,7
Tullio,M,7
Bartolomeo,M,7
Dalila,F,7
Giovanni Luigi,M,7
Laura Maria,F,7
Romilda,F,7
Clotilde,F,7
Natasha,F,7
Rosa Angela,F,7
Melisa,F,7
Melania,F,7
Annarita,F,7
Malika,F,7
Duilio,M,7
Dea,F,7
Vitalie,M,7
Assia,F,7
Fiore,M,7
Dritan,M,7
Nicolino,M,7
El Mostafa,M,7
Latifa,F,7
Serenella,F,7
Severina,F,7
Florenc,M,7
Mourad,M,7
Margarita,F,7
Alban,M,7
Dylan,M,7
Camillo,M,7
Tania,F,7
Ernesta,F,7
Brendon,M,7
Giuseppina Maria,F,7
Giuseppe Luigi,M,7
Ermelinda,F,7
Abdelhak,M,7
Giovanni Paolo,M,7
Saad,M,7
Lene,F,7
Mariarosaria,F,7
Bilal,M,7
Nikolin,M,7
Nizar,M,7
Liviana,F,7
Dhurata,F,7
Florian,M,7
Desire',F,7
Susi,F,6
Igli,M,6
Patrizia Maria,F,6
Elvio,M,6
Agostina,F,6
Vjollca,F,6
Mor,M,6
Pietro Paolo,M,6
Egidio,M,6
Gazmend,M,6
Anisoara,F,6
Carlo Giuseppe,M,6
Nadir,M,6
Larisa,F,6
Luiza,F,6
Ndricim,M,6
Santino,M,6
Ramona,F,6
Giuseppe Michele,M,6
Iryna,F,6
Franca Giuseppina,F,6
Cassandra,F,6
Faustina,F,6
Aliona,F,6
Devid,M,6
Maurilio,M,6
Durim,M,6
Franco Angelo,M,6
Bianca Maria,F,6
Ubaldo,M,6
Teresita,F,6
Pasqua,F,6
Rania,F,6
Allegra,F,6
Soumia,F,6
Sebastiana,F,6
Isidoro,M,6
Maria Donata,F,6
Fatou,F,6
Roberto Giovanni,M,6
Doina,F,6
Klodian,M,6
Precious,F,6
Elton,M,6
Abdoulaye,M,6
Eriona,F,6
Ryan,M,6
Ilario,M,6
Palmira,F,6
Gian Carla,F,6
Ermira,F,6
Floriano,M,6
Ervin,M,6
Cheikh,M,6
Rosanna Maria,F,6
Evelin,F,6
Astrit,M,6
Italia,F,6
Iurie,M,6
Brian,M,6
Catena,F,6
Gianmario,M,6
Fortunata,F,6
Adelia,F,6
Khalid,M,6
Maria Elisa,F,6
Sidorela,F,6
Ferdinand,M,6
Teodoro,M,6
Enrico Maria,M,6
Erminia,F,6
Karima,F,6
Jamal,M,6
Marjana,F,6
Doha,F,6
Elona,F,6
Noureddine,M,6
Flamur,M,6
Hafsa,F,6
Nino,M,6
Delio,M,6
Tarik,M,6
Yuri,M,6
Abdelhadi,M,6
Ardit,M,6
Lea,F,6
Rachida,F,6
Giordano,M,6
Ambrogio,M,6
Bujar,M,6
Liam,M,6
Giuseppe Francesco,M,6
Oxana,F,6
Liboria,F,6
Giovanni Mario,M,6
Clorinda,F,6
Salvatore Giuseppe,M,6
Suzana,F,6
Jolanda,F,6
Francesca Maria,F,6
Leila,F,6
Jacqueline,F,6
Siham,F,6
Daiana,F,6
Alissa,F,6
Orsolina,F,6
Paolo Luigi,M,6
Giovanni Francesco,M,6
Valeriu,M,6
Fatima Zahra,F,6
Ikram,F,6
Luce,F,6
Kastriot,M,6
Megi,F,6
Marsel,M,6
Yassin,M,6
Kloe,F,6
Gian Mario,M,6
Zamira,F,6
Jenny,F,6
Ludmila,F,6
Monica Maria,F,6
Emmanuel,M,6
Youness,M,6
Liana,F,6
Liljana,F,6
Giovanni Antonio,M,6
Giancarlo Giuseppe,M,6
Lamin,M,6
Iacopo,M,6
Andreina,F,6
Anna Paola,F,6
Khaddouj,F,6
Sabino,M,6
Gigliola,F,6
Mario Giuseppe,M,6
Abdelaziz,M,6
Ilary,F,6
Brayan,M,6
Adelio,M,6
Laureta,F,6
Addolorata,F,6
Ottavia,F,6
Sandrina,F,6
Maria Piera,F,6
Pierfranco,M,6
Cesarina,F,6
Hiba,F,6
Meryem,F,6
Graziana,F,5
Yuliya,F,5
Fran,M,5
Olena,F,5
Israa,F,5
Attilia,F,5
Blerina,F,5
Kejsi,F,5
Amos,M,5
Hanan,F,5
Carlo Luigi,M,5
Ayman,M,5
Imane,F,5
Corinna,F,5
Logan,M,5
Alberto Paolo,M,5
Meriem,F,5
Aurica,F,5
Maria Margherita,F,5
Klaudia,F,5
Dorian,M,5
Desirã©e,F,5
Rita Rosa,F,5
Armanda,F,5
Domenico Giuseppe,M,5
Marioara,F,5
Augusta,F,5
Loubna,F,5
Teresa Maria,F,5
Francesco Giovanni,M,5
Asmaa,F,5
Giovanni Maria,M,5
Petra,F,5
Ermir,M,5
Yasmin,F,5
Loveth,F,5
Eduardo,M,5
Erjon,M,5
Bartolo,M,5
Gandolfo,M,5
Manal,F,5
Pier Angelo,M,5
Guerrino,M,5
Nertila,F,5
Nella Maria,F,5
Griselda,F,5
Giovanna Teresa,F,5
Maria Michela,F,5
Pinuccia,F,5
Isaac,M,5
Suada,F,5
Qemal,M,5
Giglio,M,5
Ariel,F,5
Wanda,F,5
Roberto Antonio,M,5
Abdelghani,M,5
Bruno Giuseppe,M,5
Giovanna Giuseppina,F,5
Bright,M,5
Sirya,F,5
Armand,M,5
Patrik,M,5
Alesia,F,5
Carlo Alberto,M,5
Maria Letizia,F,5
Ionica,F,5
Joel,M,5
Braian,M,5
Daisy,F,5
Piera Carla,F,5
George,M,5
Ala,F,5
Marilisa,F,5
Giuseppe Secondo,M,5
Orazia,F,5
Noel,M,5
Alfia,F,5
Yasser,M,5
Xhesika,F,5
Bouazza,M,5
Franco Giovanni,M,5
Lorenzina,F,5
Nives,F,5
Soufiane,M,5
Maria Calogera,F,5
Piero Giovanni,M,5
Giacomina,F,5
Kenza,F,5
Eros,M,5
Michele Giuseppe,M,5
Abdelkader,M,5
Adriatik,M,5
Pia Maria,F,5
Muhammad,M,5
Sabatino,M,5
Bukurije,F,5
Pier Carlo,M,5
Maryam,F,5
Rrok,M,5
Luigi Angelo,M,5
Florinde,F,5
Eliseo,M,5
Abdou,M,5
Rudina,F,5
M'hammed,M,5
Tecla,F,5
Fatime,F,5
Ousmane,M,5
Severino,M,5
Maria Addolorata,F,5
Nabil,M,5
Daniela Maria,F,5
Zaira,F,5
Leone,M,5
Agazio,M,5
Cesira,F,5
Lucilla,F,5
Enkelejda,F,5
Skender,M,5
Ruben,M,5
Celeste,M,5
Nathan,M,5
Ernest,M,5
Sandy,F,5
Ionela,F,5
Liborio,M,5
Norberto,M,5
Franco Luigi,M,5
Dalia,F,5
Hysen,M,5
Lule,F,5
Arwa,F,5
Friday,M,5
Gerlando,M,5
Lucas,M,5
Franco Antonio,M,5
Gionatan,M,5
Annita,F,5
Nerina,F,5
Valerica,F,5
Ina,F,5
Florjan,M,5
Beniamino,M,5
Salman,M,5
Richard,M,5
Justin,M,5
Kamila,F,5
Valter Giuseppe,M,5
Vittorino,M,5
Crocifissa,F,5
Manlio,M,5
File,F,5
Giuseppe Carlo,M,5
Cristoforo,M,5
Elizabeth,F,5
Manushaqe,F,5
Ornella Maria,F,5
Leonora,F,5
Serafino,M,5
Pier Mario,M,5
Maria Laura,F,5
Florinda,F,5
Michel,M,5
Salvina,F,5
Pierpaola,F,5
Pellumb,M,5
Paolo Giuseppe,M,5
Xhevahir,M,5
Hajrije,F,5
Arcangelo,M,5
Fatjon,M,5
Giannino,M,5
Franca Angela,F,5
Maria Beatrice,F,5
Helen,F,5
Julian,M,5
Francesco Giuseppe,M,5
Ibtissam,F,5
Ousman,M,5
Kate,F,5
Driss,M,5
Alfonsina,F,5
Vitore,F,5
Velia,F,5
Mateo,M,5
Mirella Maria,F,5
Amadou,M,5
Isabelle,F,5
Dile,F,5
Houda,F,5
Maria Daniela,F,5
Alen,M,5
Sami,M,5
Pierangela,F,5
Mary,F,5
Carlo Maria,M,5
Bukuri,F,4
Jannat,F,4
Rregjine,F,4
Remigio,M,4
Ajla,F,4
Maria Antonella,F,4
Anna Piera,F,4
Pietro Giovanni,M,4
Paulin,M,4
Marcellina,F,4
Festus,M,4
Bedri,M,4
Mioara,F,4
Glory,F,4
Norman,M,4
Edmonda,F,4
Bruno Luigi,M,4
Elisabeta,F,4
Candido,M,4
Maela,F,4
Giambattista,M,4
Imelda,F,4
Edgardo,M,4
Sanije,F,4
Franc,M,4
Giangiacomo,M,4
Anisa,F,4
Lorenzo Giuseppe,M,4
Ardjan,M,4
Brikena,F,4
Placido,M,4
Antonela,F,4
Norina,F,4
Viktor,M,4
Maria Del Carmen,F,4
Mahjouba,F,4
Megan,F,4
Zita,F,4
Pio,M,4
Sofia Elena,F,4
Mariachiara,F,4
Rafael,M,4
Tetyana,F,4
Marije,F,4
Abdelilah,M,4
Emilian,M,4
Raian,M,4
Genc,M,4
Enza Maria,F,4
Maggiorina,F,4
Petronela,F,4
Savina,F,4
Dafina,F,4
Virgilio,M,4
Maximiliano,M,4
Oliva,F,4
Metilde,F,4
Elma,F,4
Franco Domenico,M,4
Candida,F,4
Cristinel,M,4
Maria Orazia,F,4
Ilyas,M,4
Ying,F,4
Nico,M,4
Emiljano,M,4
Charaf,M,4
Liudmyla,F,4
Evelyn,F,4
Lumturi,F,4
Giuseppino,M,4
Besim,M,4
Klodiana,F,4
Maria Franca,F,4
Jody,M,4
Erjola,F,4
Felicita,F,4
Gianmaria,M,4
Taoufik,M,4
Raffaello,M,4
Chaimae,F,4
Liri,F,4
Violetta,F,4
Giuseppina Margherita,F,4
Nancy,F,4
Touria,F,4
Raimondo,M,4
Ibrahima,M,4
Gelsomina,F,4
Ilie,M,4
Rexhep,M,4
Franco Secondo,M,4
Bernardina,F,4
Zef,M,4
Ornela,F,4
Vittoria Maria,F,4
Leonarda,F,4
Ciprian,M,4
Giuseppe Pietro,M,4
Rosolino,M,4
Genny,F,4
Aminata,F,4
Elis,M,4
Carla Giuseppina,F,4
Sander,M,4
Matia,M,4
Iuliia,F,4
Anselmo,M,4
Jason,M,4
Dolores,F,4
Licia,F,4
Tonino,M,4
Pompeo,M,4
Mehdi,M,4
Roberto Maria,M,4
